Player;Pos;Age;MP;('Performance', 'Gls');('Performance', 'Ast');('Performance', 'Crs');('Performance', 'Int');('Performance', 'TklW');('Standard', 'Sh');('Standard', 'SoT')
Yahia Fofana;GK;22.0;7;0.0;0.0;0;1;0;0;0
Obite N'Dicka;DF;23.0;7;0.0;0.0;0;4;2;7;1
Ghislain Konan;DF;27.0;7;0.0;0.0;18;3;11;1;0
Seko Fofana;MF,FW;27.0;7;1.0;1.0;4;3;3;17;6
Franck Kessié;MF;26.0;7;2.0;1.0;6;7;7;10;6
Ibrahim Sangaré;MF;25.0;6;0.0;0.0;3;3;4;5;1
Jean Seri;MF;31.0;4;0.0;0.0;7;6;4;2;0
Serge Aurier;DF;30.0;5;0.0;0.0;13;2;3;1;0
Max Gradel;FW,MF;35.0;5;0.0;1.0;21;0;0;6;1
Wilfried Singo;DF;22.0;7;0.0;0.0;14;5;9;5;1
Odilon Kossonou;DF;22.0;3;0.0;0.0;0;2;3;2;1
Jean-Philippe Krasso;FW;25.0;6;1.0;0.0;0;0;3;7;2
Christian Kouamé;FW;25.0;4;0.0;0.0;1;0;1;4;2
Sébastien Haller;FW;28.0;4;2.0;0.0;0;0;1;10;2
Simon Adingra;FW;21.0;5;1.0;2.0;19;1;4;6;2
Willy Boly;DF;31.0;4;0.0;0.0;0;2;4;1;0
Oumar Diakité;MF,FW;19.0;5;1.0;0.0;13;2;4;3;1
Nicolas Pépé;FW;27.0;5;0.0;0.0;19;2;2;4;1
Jeremie Boga;FW;26.0;4;0.0;0.0;15;0;1;1;0
Ousmane Diomande;DF;19.0;2;0.0;0.0;0;1;0;1;0
Jonathan Bamba;FW;26.0;3;0.0;0.0;2;0;1;0;0
Karim Konaté;FW;18.0;3;0.0;0.0;0;0;0;3;0
Jean Thierry Lazare;MF;24.0;2;0.0;0.0;1;1;1;1;0
Idrissa Doumbia;MF;24.0;1;0.0;0.0;0;0;0;0;0
Badra Ali Sangaré;GK;36.0;0;;;;;;;
Ismael Diallo;DF;26.0;0;;;;;;;
Charles Folly;GK;32.0;0;;;;;;;